dataset,instance_id,true_label,rf_prediction,rf_correct,shap_top1_feature,shap_top3_features,shap_top5_features,shap_top5_abs_values
synthetic,winding_short_031_w300,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.18660774357670537, 0.17930441364564195, 0.11971582447152915, 0.11192235947500134, 0.08412508936010527]"
synthetic,winding_short_031_w420,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.21818795428604557, 0.21460949140717797, 0.12131490316884934, 0.0919042598127712, 0.05228210569800925]"
synthetic,winding_short_031_w480,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.18140273816612934, 0.17548435077929384, 0.1495907748564073, 0.13903680589877357, 0.05829302035936131]"
synthetic,winding_short_032_w420,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.21792569527672773, 0.21460949140717797, 0.1213065686928678, 0.09193172450494178, 0.05228210569800925]"
synthetic,winding_short_036_w360,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.1810927482674147, 0.175359794709697, 0.14942522847675072, 0.13883386737717593, 0.05845716678068954]"
synthetic,winding_short_036_w480,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.1811444854578241, 0.1750688403888695, 0.1496307414375011, 0.13876939875968874, 0.055285617451600856]"
synthetic,winding_short_041_w420,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.2181094026940066, 0.21457617716464528, 0.12123271819686604, 0.09193172450494178, 0.05228210569800925]"
synthetic,winding_short_043_w360,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.18155367312318063, 0.17540332580687684, 0.1495907748564073, 0.13883386737717593, 0.058195898637068456]"
synthetic,winding_short_043_w420,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.21800071617514585, 0.2146647374818713, 0.12104866993414691, 0.091885059220769, 0.0529617222823155]"
synthetic,bearing_friction_002_w480,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""vibration_z_last"", ""current_delta_mean""]","[0.33887009663130696, 0.33505768819574583, 0.031353296173790034, 0.02839891197319644, 0.028072807379569832]"
synthetic,bearing_friction_007_w300,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.32687509375300905, 0.322908553081964, 0.06809481863102412, 0.02584784440254831, 0.020374207723776506]"
synthetic,bearing_friction_007_w360,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last"", ""temperature_delta_mean"", ""current_slope""]","[0.32419471755782503, 0.320124787744933, 0.06856174800037133, 0.025918241150761863, 0.02182489144445018]"
synthetic,bearing_friction_007_w420,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""current_slope"", ""current_z_last""]","[0.3327848148451588, 0.3294653414465109, 0.07265427271903768, 0.01688728539930809, 0.013774245310191441]"
synthetic,bearing_friction_010_w300,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.3240774727369785, 0.322809815256213, 0.06826483463280084, 0.025879624244084423, 0.020140275677061552]"
synthetic,bearing_friction_018_w300,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.32827457648710384, 0.32746721730709355, 0.05873651782077983, 0.026502979013172636, 0.020890544300460424]"
synthetic,bearing_friction_018_w360,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""temperature_delta_mean""]","[""vibration_slope"", ""vibration_delta_mean"", ""temperature_delta_mean"", ""temperature_slope"", ""current_z_last""]","[0.33089275429322923, 0.3297562606297558, 0.03346199884697961, 0.029686826581364494, 0.02536310482960497]"
synthetic,bearing_friction_020_w360,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last"", ""current_slope"", ""temperature_delta_mean""]","[0.32340937856795865, 0.3222371229600725, 0.07047356797980171, 0.02138231728372942, 0.01865713489143878]"
synthetic,bearing_friction_020_w480,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""current_slope"", ""current_delta_mean""]","[0.3280959283929969, 0.32710586008446263, 0.07321068507535052, 0.021318483758700085, 0.017224528698509083]"
synthetic,bearing_friction_022_w300,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.3206998235314768, 0.31726608497442543, 0.06688559199479208, 0.025903416498553794, 0.021146931857012167]"
synthetic,bearing_friction_022_w420,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""vibration_z_last""]","[0.3437278896374603, 0.3404242316151279, 0.02196196475987287, 0.01886313794353021, 0.018793514158253463]"
synthetic,bearing_friction_035_w300,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.3275495626038333, 0.327160212672687, 0.05873651782077983, 0.026502585324624014, 0.020968348250323197]"
synthetic,bearing_friction_035_w360,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.3175795823023722, 0.3174925903234687, 0.06879118887163566, 0.02699679338264632, 0.02257543351353169]"
synthetic,bearing_friction_035_w420,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""current_slope"", ""current_z_last""]","[0.32763223792634555, 0.32654190998882493, 0.07379549465152774, 0.01919169126761114, 0.01811307491020519]"
synthetic,bearing_friction_038_w360,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.3178842811990392, 0.3176898515486378, 0.06749008190363294, 0.02766826907150214, 0.023116285760281605]"
synthetic,bearing_friction_042_w300,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.32957041876535637, 0.32464822855374265, 0.07439907743778967, 0.025624089038236746, 0.019870519284247448]"
synthetic,bearing_friction_042_w360,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""temperature_delta_mean"", ""current_slope""]","[0.3218753737805637, 0.3211065853756025, 0.06972661910074321, 0.02385479600132432, 0.02064800754962335]"
synthetic,bearing_friction_044_w300,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last"", ""temperature_delta_mean"", ""temperature_slope""]","[0.3266948498746327, 0.32285080248599685, 0.06840718027971937, 0.02587858646368253, 0.02033158988722168]"
synthetic,bearing_friction_044_w360,bearing_friction,bearing_friction,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""vibration_z_last"", ""temperature_delta_mean"", ""current_slope""]","[0.3245965765091555, 0.3218001536339568, 0.07327695625068953, 0.0249732560386513, 0.02192677088684491]"
synthetic,bearing_friction_044_w420,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""current_slope"", ""current_z_last""]","[0.32813091201432526, 0.3256125579341223, 0.07411909319272364, 0.01997090490780585, 0.017544495813404906]"
synthetic,bearing_friction_044_w480,bearing_friction,bearing_friction,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""vibration_z_last"", ""current_slope"", ""temperature_slope""]","[0.32402327954804433, 0.3224683843686119, 0.07231908350299575, 0.018854071520159017, 0.017178978858670382]"
synthetic,overload_001_w300,overload,overload,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_z_last"", ""current_slope"", ""current_delta_mean""]","[0.1903254811399847, 0.17479029808444188, 0.08273503116525927, 0.07999304680591954, 0.07073690415726468]"
synthetic,overload_001_w420,overload,overload,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_z_last"", ""temperature_delta_mean"", ""current_slope""]","[0.20470680026132487, 0.18599789845422196, 0.08693757130926157, 0.07651620837279778, 0.07636902383616216]"
synthetic,overload_003_w300,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last"", ""current_slope"", ""current_delta_mean""]","[0.21132226586260144, 0.20585049083677204, 0.1270819110537962, 0.0828521122735453, 0.07365590240102768]"
synthetic,overload_005_w300,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last"", ""current_slope"", ""current_delta_mean""]","[0.21203189327421643, 0.2015988654513166, 0.13971719293561435, 0.08677981867758625, 0.07402181051801383]"
synthetic,overload_005_w420,overload,overload,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_delta_mean""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_delta_mean"", ""temperature_slope"", ""current_slope""]","[0.19226227323267775, 0.17758579881553854, 0.10305928890852635, 0.09929387317121352, 0.07196799783860483]"
synthetic,overload_006_w300,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.1940014794726277, 0.18378598532558713, 0.08104678147518578, 0.0706236633812948, 0.03278395378668085]"
synthetic,overload_007_w420,overload,overload,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_z_last""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_z_last"", ""temperature_slope"", ""temperature_delta_mean""]","[0.18341835704889825, 0.16673134968068487, 0.09938817917159276, 0.09050669190975714, 0.08967288182318077]"
synthetic,overload_013_w360,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.19486128966332555, 0.1927958378746181, 0.13804083766258746, 0.10888388438995068, 0.04733165335075505]"
synthetic,overload_013_w420,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""temperature_delta_mean""]","[""vibration_slope"", ""vibration_delta_mean"", ""temperature_delta_mean"", ""temperature_slope"", ""current_slope""]","[0.19998392463227282, 0.19382355737083556, 0.0885168852844996, 0.08348569921004934, 0.06344370293256252]"
synthetic,overload_016_w300,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""current_delta_mean""]","[0.21884930439556766, 0.2014789164333621, 0.08470802802662813, 0.07467241685959179, 0.07450590974241174]"
synthetic,overload_034_w360,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_delta_mean"", ""temperature_delta_mean""]","[0.20038376391553717, 0.19616064602579242, 0.1554085847875489, 0.12292866764241042, 0.0315373276369339]"
synthetic,overload_034_w420,overload,overload,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_delta_mean""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_delta_mean"", ""temperature_slope"", ""current_z_last""]","[0.1698760249695593, 0.1548403388387924, 0.1108505334551873, 0.11044885272377195, 0.0753598654722661]"
synthetic,overload_035_w300,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.17970229059237433, 0.16970993298842862, 0.05667686289191082, 0.05107276950305765, 0.028292357825732087]"
synthetic,overload_035_w360,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_delta_mean"", ""temperature_delta_mean""]","[0.20855534737528886, 0.20359117389246037, 0.16231325081692627, 0.1301911358137549, 0.031666546905263326]"
synthetic,overload_039_w420,overload,overload,True,vibration_slope,"[""vibration_slope"", ""current_z_last"", ""vibration_delta_mean""]","[""vibration_slope"", ""current_z_last"", ""vibration_delta_mean"", ""current_slope"", ""temperature_slope""]","[0.13753093527265364, 0.13616948574959584, 0.12993465600071227, 0.07889428453406118, 0.07282660734687578]"
synthetic,overload_039_w480,overload,overload,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""temperature_delta_mean""]","[0.20018074030681174, 0.19998969936541638, 0.1714571045094436, 0.13475232140732127, 0.026294929871944667]"
synthetic,overload_046_w300,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last"", ""current_slope"", ""current_delta_mean""]","[0.20563249204416378, 0.20244538128367573, 0.14034527027304808, 0.08434859141235178, 0.07257083454293098]"
synthetic,overload_046_w360,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_delta_mean"", ""temperature_delta_mean""]","[0.2053981824474684, 0.20367525460481126, 0.15786598353977663, 0.12294426327109793, 0.03276876940793704]"
synthetic,overload_046_w420,overload,overload,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.20960921565785343, 0.19947252468990906, 0.07921864311227339, 0.06882102834186851, 0.06396861160976884]"
synthetic,sensor_drift_005_w480,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18865405057375742, 0.18794659245437986, 0.10671931456876475, 0.10109434772944627, 0.06892362278817582]"
synthetic,sensor_drift_024_w360,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18867532886191865, 0.18792158265304035, 0.10643292905248576, 0.10392510784841488, 0.06832558319327475]"
synthetic,sensor_drift_024_w480,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18822175581875317, 0.1879142417292559, 0.10698172643143648, 0.10065074779322891, 0.06893732166858695]"
synthetic,sensor_drift_027_w300,sensor_drift,sensor_drift,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""temperature_delta_mean""]","[0.20394547719136813, 0.20149261544514077, 0.1157154792772408, 0.08328057977654366, 0.07819411500097796]"
synthetic,sensor_drift_027_w360,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18880098211606153, 0.18849981947516767, 0.10512378006025046, 0.10389647188332596, 0.06831893568092744]"
synthetic,sensor_drift_029_w300,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last"", ""current_slope"", ""temperature_delta_mean""]","[0.18983339368100502, 0.18760318619571742, 0.10309801643844015, 0.10282130562616912, 0.06757751707356341]"
synthetic,sensor_drift_029_w420,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18993914014247237, 0.18864429634604357, 0.102670579473428, 0.09929813408393458, 0.07063477212136579]"
synthetic,sensor_drift_029_w480,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18839984251945996, 0.18744603599792245, 0.10681420120971068, 0.09941704105411246, 0.070350940580469]"
synthetic,sensor_drift_032_w360,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18829035649722362, 0.1878730516798587, 0.10535075306318689, 0.10193592131648815, 0.06852347460628637]"
synthetic,sensor_drift_038_w300,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last"", ""current_slope"", ""temperature_delta_mean""]","[0.19019498749886904, 0.18778343151172966, 0.10464721032457673, 0.10267046679168364, 0.06796726592743199]"
synthetic,sensor_drift_038_w420,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18981563902486986, 0.18757516489441278, 0.10322448504883325, 0.09886760669716267, 0.07041232094481678]"
synthetic,sensor_drift_038_w480,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18894409626176167, 0.18825014204226764, 0.1069060644402619, 0.10050666525186404, 0.0689632400936459]"
synthetic,sensor_drift_043_w360,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18900872934834498, 0.18852696187791454, 0.10545364162077184, 0.10152521541444157, 0.06865406491804621]"
synthetic,sensor_drift_044_w300,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.1900756200685982, 0.18791411718190737, 0.10360545839140826, 0.10267554321627073, 0.06811323490167144]"
synthetic,sensor_drift_044_w360,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.18811761901613447, 0.18781499279319078, 0.10537389189424705, 0.1047876344160752, 0.06921402317524938]"
synthetic,sensor_drift_044_w480,sensor_drift,sensor_drift,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""temperature_slope"", ""current_delta_mean""]","[0.21011658874658262, 0.20359131921575166, 0.11878878954030653, 0.08356566231403242, 0.0821758007060104]"
synthetic,sensor_drift_045_w300,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_z_last"", ""current_slope"", ""temperature_delta_mean""]","[0.19068330112179677, 0.1875987431313181, 0.104709603472513, 0.10338140814861259, 0.06790902485531337]"
synthetic,sensor_drift_046_w420,sensor_drift,sensor_drift,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""temperature_slope"", ""temperature_delta_mean""]","[0.20624959196761922, 0.20434873251927424, 0.1147843187480504, 0.08258989640163826, 0.08219093315282719]"
synthetic,sensor_drift_046_w480,sensor_drift,sensor_drift,True,vibration_slope,"[""vibration_slope"", ""vibration_delta_mean"", ""current_slope""]","[""vibration_slope"", ""vibration_delta_mean"", ""current_slope"", ""current_z_last"", ""temperature_delta_mean""]","[0.1873805314117923, 0.18663897459004955, 0.1066006791425341, 0.10302479385357488, 0.06961908177983374]"
