dataset,instance_id,repeat,trace_idx,diagnosis,rf_prediction,n_llm_evidence_features,llm_evidence_features,shap_top1_feature,n_overlap_top3,n_overlap_top5,any_overlap_top3,any_overlap_top5,llm_feature_fraction_in_shap_top3,llm_feature_fraction_in_shap_top5,shap_top1_used_by_llm,grounded_rate,unsupported_rate
nasa_fd001,u001_e0170,0,2,degraded,degraded,4,"[""s8_slope"", ""s13_slope"", ""s4_slope"", ""s15_slope""]",s11_slope,1,1,True,True,0.25,0.25,False,1.0,0.0
nasa_fd001,u001_e0170,0,3,degraded,degraded,4,"[""s8_slope"", ""s13_slope"", ""s11_slope"", ""s4_slope""]",s11_slope,2,2,True,True,0.5,0.5,True,1.0,0.0
nasa_fd001,u001_e0170,0,4,degraded,degraded,4,"[""s8_slope"", ""s13_slope"", ""s4_slope"", ""s15_slope""]",s11_slope,1,1,True,True,0.25,0.25,False,1.0,0.0
nasa_fd001,u005_e0080,0,0,healthy,healthy,3,"[""s3_delta_mean"", ""s12_slope"", ""s20_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0080,0,1,healthy,healthy,3,"[""s3_slope"", ""s12_slope"", ""s2_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0080,0,2,healthy,healthy,4,"[""s12_delta_mean"", ""s12_z_last"", ""s3_delta_mean"", ""s3_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u005_e0080,0,3,degraded,healthy,4,"[""s3_slope"", ""s13_z_last"", ""s12_delta_mean"", ""s17_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u005_e0080,0,4,healthy,healthy,4,"[""s3_slope"", ""s3_delta_mean"", ""s12_slope"", ""s20_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0110,0,0,degraded,healthy,3,"[""s8_slope"", ""s11_z_last"", ""s20_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0110,0,1,healthy,healthy,4,"[""s3_z_last"", ""s8_slope"", ""s21_z_last"", ""s20_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0110,0,2,healthy,healthy,4,"[""s3_z_last"", ""s2_z_last"", ""s8_slope"", ""s20_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0110,0,3,degraded,healthy,4,"[""s8_slope"", ""s3_z_last"", ""s11_z_last"", ""s20_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0110,0,4,healthy,healthy,4,"[""s3_z_last"", ""s8_slope"", ""s20_delta_mean"", ""s6_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0150,0,0,healthy,healthy,4,"[""s7_delta_mean"", ""s4_z_last"", ""s15_delta_mean"", ""s9_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0150,0,1,healthy,healthy,4,"[""s7_delta_mean"", ""s7_slope"", ""s15_delta_mean"", ""s15_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0150,0,2,healthy,healthy,4,"[""s7_delta_mean"", ""s7_slope"", ""s4_z_last"", ""s15_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0150,0,3,healthy,healthy,4,"[""s7_delta_mean"", ""s7_slope"", ""s4_z_last"", ""s15_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0150,0,4,healthy,healthy,4,"[""s7_delta_mean"", ""s7_slope"", ""s4_z_last"", ""s15_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0180,0,0,degraded,healthy,3,"[""s14_z_last"", ""s20_delta_mean"", ""s3_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0180,0,1,healthy,healthy,3,"[""s8_z_last"", ""s9_z_last"", ""s7_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0180,0,2,healthy,healthy,3,"[""s8_z_last"", ""s9_z_last"", ""s21_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0180,0,3,healthy,healthy,4,"[""s8_z_last"", ""s9_z_last"", ""s14_z_last"", ""s20_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0180,0,4,healthy,healthy,4,"[""s8_z_last"", ""s9_z_last"", ""s7_z_last"", ""s3_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0230,0,0,degraded,degraded,4,"[""s13_delta_mean"", ""s17_slope"", ""s21_delta_mean"", ""s12_delta_mean""]",s11_slope,1,1,True,True,0.25,0.25,False,1.0,0.0
nasa_fd001,u005_e0230,0,1,degraded,degraded,4,"[""s13_delta_mean"", ""s17_slope"", ""s21_delta_mean"", ""s12_delta_mean""]",s11_slope,1,1,True,True,0.25,0.25,False,1.0,0.0
nasa_fd001,u005_e0230,0,2,degraded,degraded,4,"[""s13_delta_mean"", ""s17_slope"", ""s21_delta_mean"", ""s12_delta_mean""]",s11_slope,1,1,True,True,0.25,0.25,False,1.0,0.0
nasa_fd001,u005_e0230,0,3,degraded,degraded,3,"[""s13_delta_mean"", ""s17_slope"", ""s21_delta_mean""]",s11_slope,1,1,True,True,0.3333333333333333,0.3333333333333333,False,1.0,0.0
nasa_fd001,u005_e0230,0,4,degraded,degraded,3,"[""s13_delta_mean"", ""s17_slope"", ""s21_delta_mean""]",s11_slope,1,1,True,True,0.3333333333333333,0.3333333333333333,False,1.0,0.0
nasa_fd001,u005_e0250,0,0,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s20_slope"", ""s21_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0250,0,1,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s15_slope"", ""s20_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0250,0,2,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s20_slope"", ""s21_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0250,0,3,degraded,degraded,4,"[""s14_slope"", ""s9_slope"", ""s20_slope"", ""s21_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,0.75,0.25
nasa_fd001,u005_e0250,0,4,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s15_slope"", ""s20_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0260,0,0,degraded,degraded,3,"[""s3_slope"", ""s15_slope"", ""s21_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0260,0,1,degraded,degraded,4,"[""s3_slope"", ""s15_slope"", ""s21_slope"", ""s12_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0260,0,2,degraded,degraded,4,"[""s3_slope"", ""s15_slope"", ""s12_slope"", ""s21_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0260,0,3,degraded,degraded,4,"[""s3_slope"", ""s15_slope"", ""s21_slope"", ""s12_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u005_e0260,0,4,degraded,degraded,3,"[""s3_slope"", ""s14_delta_mean"", ""s21_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0050,0,0,healthy,healthy,4,"[""s6_slope"", ""s6_delta_mean"", ""s21_slope"", ""s3_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0050,0,1,healthy,healthy,4,"[""s6_slope"", ""s6_delta_mean"", ""s21_slope"", ""s21_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0050,0,2,healthy,healthy,4,"[""s6_slope"", ""s6_delta_mean"", ""s21_slope"", ""s3_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0050,0,3,healthy,healthy,4,"[""s6_slope"", ""s6_delta_mean"", ""s21_slope"", ""s3_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0050,0,4,healthy,healthy,4,"[""s6_slope"", ""s6_delta_mean"", ""s21_slope"", ""s21_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0070,0,0,healthy,healthy,4,"[""s6_slope"", ""s7_slope"", ""s8_z_last"", ""s15_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0070,0,1,healthy,healthy,4,"[""s6_slope"", ""s8_z_last"", ""s15_delta_mean"", ""s20_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0070,0,2,healthy,healthy,3,"[""s6_slope"", ""s15_delta_mean"", ""s8_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0070,0,3,healthy,healthy,4,"[""s6_slope"", ""s7_slope"", ""s8_z_last"", ""s15_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0070,0,4,healthy,healthy,4,"[""s6_slope"", ""s7_slope"", ""s8_z_last"", ""s15_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0130,0,0,degraded,healthy,4,"[""s3_delta_mean"", ""s13_delta_mean"", ""s15_slope"", ""s20_z_last""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0130,0,1,degraded,healthy,4,"[""s2_delta_mean"", ""s3_slope"", ""s13_delta_mean"", ""s15_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0130,0,2,degraded,healthy,4,"[""s3_delta_mean"", ""s13_delta_mean"", ""s15_slope"", ""s20_z_last""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0130,0,3,degraded,healthy,4,"[""s2_slope"", ""s3_slope"", ""s13_delta_mean"", ""s15_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0130,0,4,degraded,healthy,4,"[""s3_delta_mean"", ""s15_slope"", ""s17_slope"", ""s20_z_last""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0160,0,0,healthy,healthy,4,"[""s7_z_last"", ""s15_z_last"", ""s12_delta_mean"", ""s21_delta_mean""]",s11_slope,1,1,True,True,0.25,0.25,False,1.0,0.0
nasa_fd001,u011_e0160,0,1,healthy,healthy,4,"[""s7_z_last"", ""s14_slope"", ""s21_delta_mean"", ""s12_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0160,0,2,healthy,healthy,4,"[""s7_z_last"", ""s14_slope"", ""s21_delta_mean"", ""s12_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0160,0,3,healthy,healthy,4,"[""s7_z_last"", ""s21_delta_mean"", ""s12_slope"", ""s3_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0160,0,4,healthy,healthy,4,"[""s7_z_last"", ""s14_slope"", ""s12_slope"", ""s21_delta_mean""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0190,0,0,degraded,healthy,4,"[""s9_delta_mean"", ""s14_delta_mean"", ""s9_slope"", ""s14_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0190,0,1,degraded,healthy,4,"[""s14_delta_mean"", ""s14_slope"", ""s9_delta_mean"", ""s9_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0190,0,2,healthy,healthy,4,"[""s3_z_last"", ""s14_z_last"", ""s9_slope"", ""s17_slope""]",s4_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0190,0,3,degraded,healthy,4,"[""s14_delta_mean"", ""s9_delta_mean"", ""s9_slope"", ""s14_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0190,0,4,healthy,healthy,3,"[""s3_z_last"", ""s14_delta_mean"", ""s7_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0200,0,0,degraded,degraded,4,"[""s14_delta_mean"", ""s14_slope"", ""s9_slope"", ""s21_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0200,0,1,degraded,degraded,4,"[""s14_delta_mean"", ""s14_slope"", ""s9_slope"", ""s21_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0200,0,2,degraded,degraded,4,"[""s14_delta_mean"", ""s9_slope"", ""s21_slope"", ""s7_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0200,0,3,degraded,degraded,4,"[""s14_delta_mean"", ""s14_slope"", ""s9_slope"", ""s21_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0200,0,4,degraded,degraded,4,"[""s14_delta_mean"", ""s9_slope"", ""s21_slope"", ""s6_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0240,0,0,degraded,degraded,4,"[""s9_slope"", ""s14_delta_mean"", ""s20_delta_mean"", ""s21_delta_mean""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u011_e0240,0,1,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s9_delta_mean"", ""s14_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0240,0,2,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s9_delta_mean"", ""s14_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0240,0,3,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s14_delta_mean"", ""s20_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u011_e0240,0,4,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s20_delta_mean"", ""s21_delta_mean""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u013_e0060,0,0,healthy,healthy,4,"[""s11_z_last"", ""s14_z_last"", ""s7_z_last"", ""s15_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0060,0,1,healthy,healthy,4,"[""s11_z_last"", ""s14_z_last"", ""s7_z_last"", ""s15_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0060,0,2,healthy,healthy,4,"[""s11_z_last"", ""s14_z_last"", ""s21_z_last"", ""s7_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0060,0,3,healthy,healthy,4,"[""s11_z_last"", ""s14_z_last"", ""s21_z_last"", ""s7_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0060,0,4,healthy,healthy,4,"[""s11_z_last"", ""s14_z_last"", ""s15_z_last"", ""s20_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0070,0,0,degraded,healthy,3,"[""s17_z_last"", ""s15_delta_mean"", ""s7_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0070,0,1,degraded,healthy,3,"[""s17_z_last"", ""s15_delta_mean"", ""s7_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0070,0,2,degraded,healthy,3,"[""s17_z_last"", ""s15_delta_mean"", ""s7_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0070,0,3,degraded,healthy,4,"[""s17_z_last"", ""s15_delta_mean"", ""s7_slope"", ""s13_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0070,0,4,healthy,healthy,4,"[""s17_z_last"", ""s13_z_last"", ""s7_slope"", ""s4_delta_mean""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u013_e0120,0,0,degraded,healthy,4,"[""s14_z_last"", ""s14_slope"", ""s9_z_last"", ""s7_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0120,0,1,degraded,healthy,4,"[""s14_z_last"", ""s14_slope"", ""s9_z_last"", ""s9_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0120,0,2,degraded,healthy,4,"[""s14_z_last"", ""s14_slope"", ""s9_z_last"", ""s8_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0120,0,3,healthy,healthy,4,"[""s14_z_last"", ""s9_z_last"", ""s20_z_last"", ""s7_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0120,0,4,healthy,healthy,4,"[""s14_z_last"", ""s9_z_last"", ""s14_delta_mean"", ""s20_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0130,0,0,degraded,healthy,4,"[""s9_delta_mean"", ""s14_delta_mean"", ""s17_delta_mean"", ""s8_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0130,0,1,healthy,healthy,4,"[""s17_delta_mean"", ""s14_delta_mean"", ""s8_z_last"", ""s9_delta_mean""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0130,0,2,healthy,healthy,4,"[""s8_z_last"", ""s17_delta_mean"", ""s14_delta_mean"", ""s9_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0130,0,3,healthy,healthy,4,"[""s8_z_last"", ""s17_delta_mean"", ""s14_delta_mean"", ""s9_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0130,0,4,healthy,healthy,4,"[""s14_delta_mean"", ""s17_delta_mean"", ""s9_z_last"", ""s8_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0140,0,0,degraded,degraded,4,"[""s14_delta_mean"", ""s9_slope"", ""s4_z_last"", ""s12_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0140,0,1,degraded,degraded,4,"[""s9_delta_mean"", ""s14_delta_mean"", ""s9_slope"", ""s14_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0140,0,2,degraded,degraded,4,"[""s9_delta_mean"", ""s14_delta_mean"", ""s9_slope"", ""s14_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0140,0,3,degraded,degraded,4,"[""s9_delta_mean"", ""s14_delta_mean"", ""s14_slope"", ""s9_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0140,0,4,degraded,degraded,4,"[""s9_delta_mean"", ""s9_slope"", ""s14_delta_mean"", ""s14_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0160,0,0,degraded,degraded,4,"[""s9_delta_mean"", ""s9_slope"", ""s14_delta_mean"", ""s14_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0160,0,1,degraded,degraded,4,"[""s9_slope"", ""s9_delta_mean"", ""s14_slope"", ""s14_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0160,0,2,degraded,degraded,4,"[""s9_delta_mean"", ""s9_slope"", ""s14_delta_mean"", ""s14_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0160,0,3,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s9_delta_mean"", ""s14_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u013_e0160,0,4,degraded,degraded,4,"[""s9_slope"", ""s14_slope"", ""s9_delta_mean"", ""s14_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u019_e0050,0,0,healthy,healthy,3,"[""s15_z_last"", ""s20_z_last"", ""s3_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u019_e0050,0,1,healthy,healthy,3,"[""s15_z_last"", ""s3_slope"", ""s17_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u019_e0050,0,2,healthy,healthy,3,"[""s15_z_last"", ""s20_z_last"", ""s3_slope""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u019_e0050,0,3,healthy,healthy,3,"[""s15_z_last"", ""s3_slope"", ""s20_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u019_e0050,0,4,healthy,healthy,3,"[""s15_z_last"", ""s3_slope"", ""s20_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u019_e0060,0,0,healthy,healthy,4,"[""s3_slope"", ""s2_delta_mean"", ""s20_delta_mean"", ""s21_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u019_e0060,0,1,healthy,healthy,3,"[""s3_slope"", ""s2_delta_mean"", ""s20_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u019_e0060,0,2,healthy,healthy,4,"[""s3_slope"", ""s2_delta_mean"", ""s20_delta_mean"", ""s21_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
